Date,Sentiment
2007-01-01,0.6724488139152527
2007-03-01,0.7291337251663208
2007-05-01,0.5607678294181824
2007-06-01,0.6820055246353149
2007-08-01,0.6974261999130249
2007-09-01,0.7069712281227112
2007-10-01,0.8929288983345032
2007-12-01,0.8972039222717285
2008-01-01,0.9386059641838074
2008-03-01,0.8973916172981262
2008-04-01,0.9084609150886536
2008-06-01,0.9331757426261902
2008-08-01,0.891775369644165
2008-09-01,0.8954324126243591
2008-10-01,0.9189951419830322
2008-12-01,0.9110297560691833
2009-01-01,0.9031717777252197
2009-03-01,0.8714053630828857
2009-04-01,0.9127368330955505
2009-06-01,0.9056723117828369
2009-08-01,0.8433663845062256
2009-09-01,0.9015563726425171
2009-11-01,0.8947998285293579
2009-12-01,0.8665800094604492
2010-01-01,0.8906645178794861
2010-03-01,0.8242188096046448
2010-04-01,0.9135164618492126
2010-06-01,0.9180295467376709
2010-08-01,0.8346607685089111
2010-09-01,0.7930364012718201
2010-11-01,0.8952468633651733
2010-12-01,0.7474028468132019
2011-01-01,0.9010981917381287
2011-03-01,0.8224132657051086
2011-04-01,0.9075314402580261
2011-06-01,0.8732873797416687
2011-08-01,0.8506497740745544
2011-09-01,0.8068194389343262
2011-11-01,0.8740475177764893
2011-12-01,0.8298941254615784
2012-01-01,0.8456730246543884
2012-03-01,0.8545165657997131
2012-04-01,0.8383005857467651
2012-06-01,0.8342480063438416
2012-08-01,0.8450964093208313
2012-09-01,0.8301735520362854
2012-10-01,0.8038814067840576
2012-12-01,0.8515159487724304
2013-01-01,0.8164955377578735
2013-03-01,0.7719261050224304
2013-05-01,0.8486902713775635
2013-06-01,0.8257931470870972
2013-07-01,0.8443072438240051
2013-09-01,0.8398553729057312
2013-10-01,0.840451180934906
2013-12-01,-0.9168199300765991
2014-01-01,0.828369677066803
2014-03-01,0.8486636877059937
2014-04-01,0.8824900388717651
2014-06-01,0.8722549080848694
2014-07-01,0.8612701892852783
2014-09-01,0.8736265301704407
2014-10-01,0.8641564846038818
2014-12-01,0.8640258312225342
2015-01-01,0.8587737083435059
2015-03-01,0.8406813144683838
2015-04-01,0.8832363486289978
2015-06-01,0.8700278997421265
2015-07-01,0.8494923710823059
2015-09-01,0.87369704246521
2015-10-01,0.8892117142677307
2015-12-01,0.8725272417068481
2016-01-01,0.861073911190033
2016-03-01,0.911941409111023
2016-04-01,0.862138032913208
2016-06-01,0.88741135597229
2016-07-01,0.8723001480102539
2016-09-01,0.8703049421310425
2016-11-01,0.8744518756866455
2016-12-01,0.8990235328674316
2017-02-01,0.9081538319587708
2017-03-01,0.8902857303619385
2017-05-01,0.8463087677955627
2017-06-01,0.8695089221000671
2017-07-01,0.8745436668395996
2017-09-01,0.8773329854011536
2017-11-01,0.8553705811500549
2017-12-01,0.8636264801025391
2018-01-01,0.8971508145332336
2018-03-01,0.9242517948150635
2018-05-01,0.8954002261161804
2018-06-01,0.9022585153579712
2018-08-01,0.9005459547042847
2018-09-01,0.9099125862121582
2018-11-01,0.8990544080734253
2018-12-01,0.8946925401687622
2019-01-01,0.8675328493118286
2019-03-01,0.860206663608551
2019-04-01,0.8852834701538086
2019-06-01,0.873466968536377
2019-07-01,0.8844704627990723
2019-09-01,0.867241382598877
2019-10-01,0.8867149353027344
2019-12-01,0.8666850328445435
2020-01-01,0.9151483178138733
2020-03-01,0.8852622509002686
2020-04-01,0.9302794337272644
2020-06-01,0.9196832180023193
2020-07-01,0.9117304086685181
2020-09-01,0.9080070853233337
2020-11-01,0.9160944223403931
2020-12-01,0.9274920225143433
2021-01-01,0.9350510835647583
2021-03-01,0.9265341758728027
2021-04-01,0.9334902763366699
2021-06-01,0.9324221611022949
2021-07-01,0.889144778251648
2021-09-01,0.8892266154289246
