DATE,BAMLCC0A0CMTRIV,BAMLHYH0A0HYM2TRIV,CORESTICKM159SFRBATL,CSUSHPINSA,GDP,GS1,GS10,GS30,GS5,PCEPI,PCEPILFE,SPY,T10Y2YM,UNRATE,WFRBST01134,WILL5000INDFC,WILLSMLCAP
2006-01-01,1546.51,517.24,2.4510191000000003,0.003716218084488743,0.011343641813170937,4.45,4.42,4.57,4.35,88.36399999999999,89.50299999999999,0.0057254588235293715,0.02,4.7,0.0,0.015837104072398134,0.015663098567431092
2006-02-01,1540.4,525.74,2.4992554,0.006881504785097636,0.011343641813170937,4.68,4.57,4.57,4.57,88.417,89.647,0.012477626529755259,-0.1,4.8,0.0,-0.008509709797076215,-0.00925068203849555
2006-03-01,1546.46,528.58,2.581219,0.0049192886456908,0.011343641813170937,4.77,4.72,4.73,4.72,88.588,89.89399999999999,0.012631895361135292,-0.01,4.7,-0.10000000000000142,-0.0010827197921177145,-0.0010629444165520807
2006-04-01,1529.88,532.06,2.6806926,0.0039858643390380255,0.00848981315489139,4.9,4.99,5.06,4.9,88.999,90.169,-0.030120932303027814,0.1,4.7,0.0,0.0004287245444802856,-0.005987387589859393
2006-05-01,1519.53,535.45,2.7839595,0.0009057332371555926,0.00848981315489139,5.0,5.11,5.2,5.0,89.23899999999999,90.395,-0.0018038035949524691,0.14,4.6,0.0,0.0055354481583989035,0.006486101964706448
2006-06-01,1523.14,535.08,3.0344298,0.00032511866831397285,0.00848981315489139,5.16,5.11,5.15,5.07,89.459,90.62299999999999,0.004478307703317919,-0.01,4.6,0.10000000000000142,0.0019451048195373575,0.002543809310950884
2006-07-01,1523.72,533.12,3.0939987999999996,-0.0010996273184260552,0.012211225976172637,5.22,5.09,5.13,5.04,89.765,90.712,0.02182245634450441,-0.03,4.7,0.0,0.007430069930070005,0.0060306020454634615
2006-08-01,1546.95,539.04,3.2251144,-0.0011171063691330918,0.012211225976172637,5.08,4.88,5.0,4.82,90.04700000000001,90.896,0.02250461591017028,-0.02,4.7,0.0,0.00639894086496029,0.007662690208418255
2006-09-01,1576.02,547.79,3.212012,-0.0007763342906312863,0.012211225976172637,4.97,4.72,4.85,4.67,89.81200000000001,91.04,0.0315166262686537,-0.05,4.5,0.1999999999999993,0.0025586353944564433,0.00673032560303799
2006-10-01,1592.34,554.72,3.2911246,-0.002292780458121535,0.012542487086489862,5.01,4.73,4.85,4.69,89.59899999999999,91.204,0.019885377307479857,-0.07,4.4,0.0,-0.0041902367483761535,-0.007466827058809078
2006-11-01,1610.73,563.67,3.1482614,-0.0021891370879030263,0.012542487086489862,5.01,4.6,4.69,4.58,89.63,91.24799999999999,0.0077563225486110285,-0.14,4.5,0.0,-0.0006112469437653534,-0.001568597181639264
2006-12-01,1632.54,572.66,3.1241583,-0.0027942717429270125,0.012542487086489862,4.94,4.56,4.68,4.53,89.949,91.37,0.015040284389220782,-0.11,4.4,0.3999999999999986,0.0098990298950703,0.0153486060749084
2007-01-01,1614.19,578.1,3.1457342,-0.001357267950963137,0.013114489093746018,5.06,4.76,4.85,4.75,90.249,91.741,-0.019617439999999986,-0.12,4.6,0.0,-0.0005857087075361589,-7.680753545069585e-06
2007-02-01,1613.97,585.27,3.1615580000000003,-0.0015235214169846412,0.013114489093746018,5.05,4.72,4.82,4.71,90.529,91.939,0.007592471816840306,-0.13,4.5,0.0,0.0019022256039566976,0.003017713357810425
2007-03-01,1647.55,591.83,3.1090014,-0.0003402966069133706,0.013114489093746018,4.92,4.56,4.72,4.48,90.861,92.03200000000001,0.044295725352112784,-0.01,4.4,0.0,-0.012475633528265084,-0.017698814252279704
2007-04-01,1639.46,593.83,2.9667027999999998,-0.0013506687457448539,0.01125080387682842,4.93,4.69,4.87,4.59,91.074,92.163,0.03392011759013292,0.02,4.5,0.0,0.002693343593690001,0.003432009500209609
2007-05-01,1651.02,601.46,2.7833240000000004,-0.0018912945471338816,0.01125080387682842,4.91,4.75,4.9,4.67,91.339,92.272,-0.01884955562257451,-0.02,4.4,0.0,0.008133086876155327,0.01393547251944116
2007-06-01,1629.64,605.61,2.6305791000000003,-0.00301307686375607,0.01125080387682842,4.96,5.1,5.2,5.03,91.53200000000001,92.42399999999999,-0.031310192243377936,0.12,4.6,0.10000000000000142,0.002313167259786475,0.0031667665931500717
2007-07-01,1627.38,595.76,2.5346411,-0.004187960993397688,0.010363896417475926,4.96,5.0,5.11,4.88,91.67200000000001,92.56299999999999,0.012832795684650122,0.18,4.7,0.0,0.011072789980032692,0.0128669629595477
2007-08-01,1632.61,574.83,2.4685402,-0.006175202649844168,0.010363896417475926,4.47,4.67,4.93,4.43,91.734,92.70100000000001,0.03380992028755125,0.36,4.6,0.0,0.005233644859813147,0.008059084418849505
2007-09-01,1648.1,583.48,2.4838823,-0.008893280632411349,0.010363896417475926,4.14,4.52,4.79,4.2,92.088,92.954,0.013566600949447949,0.51,4.7,-0.3000000000000007,0.010754681995178927,0.010158081578964584
2007-10-01,1659.58,597.89,2.5033248,-0.013338515526865713,-0.0005789987372118999,4.1,4.53,4.77,4.2,92.367,93.196,-0.038732558890367634,0.56,4.7,0.0,0.0012354394634663812,0.0071116061992275706
2007-11-01,1684.13,600.21,2.6563697,-0.010407449061730968,-0.0005789987372118999,3.5,4.15,4.52,3.67,92.85600000000001,93.37899999999999,-0.01648053904263314,0.81,4.7,0.0,0.0005397625044980536,0.0006959334593148457
2007-12-01,1690.08,589.05,2.7127336,-0.013037960078458477,-0.0005789987372118999,3.26,4.1,4.53,3.49,93.072,93.56700000000001,-0.0604610599601435,0.98,5.0,-0.09999999999999787,-0.005506607929515407,-0.00942734938049783
2008-01-01,1689.14,590.78,2.7470404,-0.011024082300677971,0.010822601485135364,2.71,3.74,4.33,2.98,93.307,93.75299999999999,-0.02584252842114454,1.26,5.0,0.0,-0.013847858197932106,-0.014367955599508098
2008-02-01,1714.48,584.21,2.6165653,-0.007606652718181507,0.010822601485135364,2.05,3.74,4.52,2.78,93.492,93.844,-0.013824584540636065,1.77,4.9,0.0,-0.009697439875872791,-0.008619860839981562
2008-03-01,1710.33,575.83,2.6887664,-0.0034662045060659397,0.010822601485135364,1.54,3.51,4.39,2.48,93.76,94.02799999999999,0.047662301677182,1.89,5.1,-0.20000000000000284,-0.00020271639975666392,-0.0017901564925256739
2008-04-01,1676.89,573.82,2.7251103,-0.0018048707604959577,0.0022399212791917034,1.74,3.68,4.44,2.84,93.934,94.083,0.015116527380172329,1.63,5.0,0.0,-0.0005926511260370138,0.003190313910547804
2008-05-01,1700.15,597.98,2.7937418999999997,-0.002891817294624066,0.0022399212791917034,2.06,3.88,4.6,3.15,94.337,94.255,-0.08813681846226651,1.43,5.4,0.0,0.002104055087987833,-0.0031412286489596038
2008-06-01,1681.84,599.26,2.9376962000000004,-0.004941755734357956,0.0022399212791917034,2.42,4.1,4.69,3.49,95.021,94.471,-0.008985786631056758,1.33,5.6,-0.2999999999999972,-0.009518370454978052,-0.00912610935340552
2008-07-01,1671.81,580.45,3.0142542000000003,-0.008665375308508083,-0.019517485704912074,2.28,4.01,4.57,3.3,95.463,94.641,0.015453685792735428,1.44,5.8,0.0,-0.02005789909015709,-0.027698973425601348
2008-08-01,1664.52,572.03,3.0845059,-0.014396065278394874,-0.019517485704912074,2.18,3.89,4.5,3.14,95.38600000000001,94.757,-0.09938656491735354,1.47,6.1,0.0,-0.011552194917034186,-0.017869266464824896
2008-09-01,1672.91,575.86,3.0766785,-0.016984115220237683,-0.019517485704912074,1.91,3.69,4.27,2.88,95.465,94.854,-0.1651866223844577,1.61,6.1,-1.5,-0.0045286125977768155,-0.0040154522937114745
2008-10-01,1552.06,523.97,2.9291949,-0.01943254212583101,-0.012137491470548656,1.42,3.81,4.17,2.73,94.835,94.719,-0.06960658742937953,2.2,6.5,0.0,-0.04338890157570219,-0.051933890877411966
2008-11-01,1435.49,441.9,2.7864624,-0.022604806725058046,-0.012137491470548656,1.07,3.53,4.0,2.29,93.71600000000001,94.677,0.0016650239389510713,2.32,6.8,0.0,-0.0019294377067254895,0.0011642860142497824
2008-12-01,1507.2,403.4,2.6304305,-0.02086597397489265,-0.012137491470548656,0.49,2.42,2.87,1.52,93.19200000000001,94.631,-0.08211431919579615,1.6,7.3,-0.20000000000000284,0.040290620871862526,0.05222115076353062
2009-01-01,1573.98,434.88,2.5522481,-0.011683025133568005,-0.0034415730521607517,0.44,2.52,3.13,1.6,93.20299999999999,94.602,-0.1074490134625372,1.71,7.8,0.0,0.030642309958750724,0.01973787548569117
