Date,Open,High,Low,Close,Adj Close,Volume
2010-09-22,99.449997,99.449997,99.449997,99.449997,82.570679,0
2010-09-23,98.629997,98.629997,98.629997,98.629997,81.889877,0
2010-09-24,100.830002,100.830002,100.830002,100.830002,83.716484,0
2010-09-27,100.309998,100.309998,100.309998,100.309998,83.284714,0
2010-09-28,100.900002,100.900002,100.900002,100.900002,83.774582,0
2010-09-29,100.739998,100.739998,100.739998,100.739998,83.641716,0
2010-09-30,100.480003,100.480003,100.480003,100.480003,83.425873,0
2010-10-01,100.919998,100.919998,100.919998,100.919998,83.791191,0
2010-10-04,100.050003,100.050003,100.050003,100.050003,83.068855,0
2010-10-05,102.180000,102.180000,102.180000,102.180000,84.837334,0
2010-10-06,102.050003,102.050003,102.050003,102.050003,84.729393,0
2010-10-07,101.900002,101.900002,101.900002,101.900002,84.604858,0
2010-10-08,102.629997,102.629997,102.629997,102.629997,85.210960,0
2010-10-11,102.660004,102.660004,102.660004,102.660004,85.235863,0
2010-10-12,103.059998,103.059998,103.059998,103.059998,85.567986,0
2010-10-13,103.879997,103.879997,103.879997,103.879997,86.248802,0
2010-10-14,103.500000,103.500000,103.500000,103.500000,85.933289,0
2010-10-15,103.680000,103.680000,103.680000,103.680000,86.082741,0
2010-10-18,104.400002,104.400002,104.400002,104.400002,86.680534,0
2010-10-19,102.669998,102.669998,102.669998,102.669998,85.244179,0
2010-10-20,103.800003,103.800003,103.800003,103.800003,86.182388,0
2010-10-21,103.900002,103.900002,103.900002,103.900002,86.265419,0
2010-10-22,104.230003,104.230003,104.230003,104.230003,86.539398,0
2010-10-25,104.529999,104.529999,104.529999,104.529999,86.788460,0
2010-10-26,104.529999,104.529999,104.529999,104.529999,86.788460,0
2010-10-27,104.290001,104.290001,104.290001,104.290001,86.589218,0
2010-10-28,104.349998,104.349998,104.349998,104.349998,86.639030,0
2010-10-29,104.400002,104.400002,104.400002,104.400002,86.680534,0
2010-11-01,104.440002,104.440002,104.440002,104.440002,86.713760,0
2010-11-02,105.360001,105.360001,105.360001,105.360001,87.477585,0
2010-11-03,105.730003,105.730003,105.730003,105.730003,87.784790,0
2010-11-04,107.820000,107.820000,107.820000,107.820000,89.520088,0
2010-11-05,108.260002,108.260002,108.260002,108.260002,89.885384,0
2010-11-08,108.089996,108.089996,108.089996,108.089996,89.744263,0
2010-11-09,107.199997,107.199997,107.199997,107.199997,89.005310,0
2010-11-10,107.800003,107.800003,107.800003,107.800003,89.503479,0
2010-11-11,107.389999,107.389999,107.389999,107.389999,89.163055,0
2010-11-12,106.029999,106.029999,106.029999,106.029999,88.033905,0
