Date,SPY
10/1/2012,141.350006
11/1/2012,142.149994
12/1/2012,142.410004
1/1/2013,149.699997
2/1/2013,151.610001
3/1/2013,156.669998
4/1/2013,159.679993
5/1/2013,163.449997
6/1/2013,160.419998
7/1/2013,168.710007
8/1/2013,163.649994
9/1/2013,168.009995
10/1/2013,175.789993
11/1/2013,181
12/1/2013,184.690002
1/1/2014,178.179993
2/1/2014,186.289993
3/1/2014,187.009995
4/1/2014,188.309998
5/1/2014,192.679993
6/1/2014,195.720001
7/1/2014,193.089996
8/1/2014,200.710007
9/1/2014,197.020004
10/1/2014,201.660004
11/1/2014,207.199997
12/1/2014,205.539993
1/1/2015,199.449997
2/1/2015,210.660004
3/1/2015,206.429993
4/1/2015,208.460007
5/1/2015,211.139999
6/1/2015,205.850006
7/1/2015,210.5
8/1/2015,197.669998
9/1/2015,191.630005
10/1/2015,207.929993
11/1/2015,208.690002
12/1/2015,203.869995
1/1/2016,193.720001
2/1/2016,193.559998
3/1/2016,205.520004
4/1/2016,206.330002
5/1/2016,209.839996
6/1/2016,209.479996
7/1/2016,217.119995
8/1/2016,217.380005
9/1/2016,216.300003
10/1/2016,212.550003
11/1/2016,220.380005
12/1/2016,223.529999
1/1/2017,227.529999
2/1/2017,236.470001
3/1/2017,235.740005
4/1/2017,238.080002
5/1/2017,241.440002
6/1/2017,241.800003
7/1/2017,246.770004
8/1/2017,247.490005
9/1/2017,251.229996
10/1/2017,257.149994
11/1/2017,265.01001
12/1/2017,266.859985
1/1/2018,281.899994
2/1/2018,271.649994
3/1/2018,263.149994
4/1/2018,264.51001
5/1/2018,270.940002
6/1/2018,271.279999
7/1/2018,281.329987
8/1/2018,290.309998
9/1/2018,290.720001
10/1/2018,270.630005
11/1/2018,275.649994
12/1/2018,249.919998
1/1/2019,269.929993
2/1/2019,278.679993
3/1/2019,282.480011
4/1/2019,294.019989
5/1/2019,275.269989
6/1/2019,293
7/1/2019,297.429993
8/1/2019,292.450012
9/1/2019,296.769989
10/1/2019,303.329987
11/1/2019,314.309998
12/1/2019,321.859985
1/1/2020,321.730011
2/1/2020,296.26001
3/1/2020,257.75
4/1/2020,290.480011
5/1/2020,304.320007
6/1/2020,308.359985
7/1/2020,326.519989
8/1/2020,349.309998
9/1/2020,334.890015
10/1/2020,326.540009
11/1/2020,362.059998
12/1/2020,373.880005
1/1/2021,370.070007
2/1/2021,380.359985
3/1/2021,396.329987
4/1/2021,417.299988
5/1/2021,420.040009
6/1/2021,428.059998
7/1/2021,438.51001
8/1/2021,451.559998
9/1/2021,429.140015
10/1/2021,453.940002
